이름	설명	시작 키 배열	끝 키 배열
Terminal Profile 19	키인승인 사용	특수, 2670, 1, 1, 2, 종료, 종료, 종료, 종료	특수, 2670, 1, 1, {D:키인설정}, 종료, 종료, 종료, 종료
Terminal Profile 20	일용직상근직 사용	특수, 7001, 2, 5, 2, 2, 종료, 종료, 종료, 종료	특수, 7001, 2, 5, 2, {D:일용직상근직}, 종료, 종료, 종료, 종료
Terminal Profile 21	OK Cashbag GS&Point SKT멤버쉽 KTF멤버쉽 LG유플러스 비사용,크라운베이커리 신세계포인트 다모아포인트 드림적립카드 메트릭스카드 LG보너스클럽 다줌포인트 GB카드 기타 사용	특수, 7001, 3, 1, 1, 1, 1, 종료, 종료, 종료, 종료, 특수, 7001, 3, 1, 1, 2, 1, 종료, 종료, 종료, 종료, 특수, 7001, 3, 1, 1, 3, 1, 종료, 종료, 종료, 종료, 특수, 7001, 3, 1, 2, 1, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 3, 1, 2, 2, 입력, 2, 1, 종료, 종료, 종료, 종료, 특수, 7001, 3, 1, 2, 3, 입력, 2, 1, 종료, 종료, 종료, 종료, 특수, 7001, 3, 1, 2, 4, 입력, 2, 1, 종료, 종료, 종료, 종료, 특수, 7001, 3, 1, 2, 5, 입력, 2, 1, 종료, 종료, 종료, 종료, 특수, 7001, 3, 1, 2, 6, 입력, 2, 1, 종료, 종료, 종료, 종료, 특수, 7001, 3, 1, 2, 7, 입력, 2, 1, 종료, 종료, 종료, 종료, 특수, 7001, 3, 1, 2, 8, 입력, 2, 1, 종료, 종료, 종료, 종료, 특수, 7001, 3, 1, 3, 1, 2, 1, 종료, 종료, 종료, 종료	특수, 7001, 3, 1, 1, 1, {D:OK Cashbag}, 종료, 종료, 종료, 종료, 특수, 7001, 3, 1, 1, 2, {D:GS&Point}, 종료, 종료, 종료, 종료, 특수, 7001, 3, 1, 1, 3, {D:SKT멤버쉽}, 종료, 종료, 종료, 종료, 특수, 7001, 3, 1, 2, 1, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 3, 1, 2, 2, 입력, {D:신세계포인트}, {D:신세계포인트조회후인쇄}, 종료, 종료, 종료, 종료, 특수, 7001, 3, 1, 2, 3, 입력, {D:다모아포인트}, {D:다모아포인트조회후인쇄}, 종료, 종료, 종료, 종료, 특수, 7001, 3, 1, 2, 4, 입력, {D:드림적립카드}, {D:드림적립카드조회후인쇄}, 종료, 종료, 종료, 종료, 특수, 7001, 3, 1, 2, 5, 입력, {D:메트릭스카드}, {D:메트릭스카드조회후인쇄}, 종료, 종료, 종료, 종료, 특수, 7001, 3, 1, 2, 6, 입력, {D:LG보너스클럽}, {D:LG보너스클럽조회후인쇄}, 종료, 종료, 종료, 종료, 특수, 7001, 3, 1, 2, 7, 입력, {D:다줌포인트}, {D:다줌포인트조회후인쇄}, 종료, 종료, 종료, 종료, 특수, 7001, 3, 1, 2, 8, 입력, {D:GB카드}, {D:GB카드조회후인쇄}, 종료, 종료, 종료, 종료, 특수, 7001, 3, 1, 3, 1, {D:기타}, {D:기타조회후인쇄}, 종료, 종료, 종료, 종료
Terminal Profile 22	SKT, KTF 멤버쉽, LG유플러스	특수, 7001, 3, 1, 1, 4, 2, 1, 1, 종료, 종료, 종료, 종료, 특수, 7001, 3, 1, 1, 5, 2, 1, 종료, 종료, 종료, 종료	특수, 7001, 3, 1, 1, 4, {D:KTF멤버쉽}, {D:KTF멤버쉽상품코드사용}, {D:KTF멤버쉽조회후인쇄}, 종료, 종료, 종료, 종료, 특수, 7001, 3, 1, 1, 5, {D:LG유플러스}, {D:LG유플러스조회후인쇄}, 종료, 종료, 종료, 종료
Terminal Profile 23	SKT, KTF 사용, 상품코드 사용	특수, 7001, 3, 1, 1, 3, 2, 2, 종료, 종료, 종료, 종료, 특수, 7001, 3, 1, 1, 4, 2, 2, 1, 종료, 종료, 종료, 종료	특수, 7001, 3, 1, 1, 3, {D:SKT멤버쉽}, {D:SKT멤버쉽상품코드사용}, 종료, 종료, 종료, 종료, 특수, 7001, 3, 1, 1, 4, {D:KTF멤버쉽}, {D:KTF멤버쉽상품코드사용}, {D:KTF멤버쉽조회후인쇄}, 종료, 종료, 종료, 종료
Terminal Profile 24-01	은련사용, 비과세사용	특수, 7001, 3, 2, 1, 2, 종료, 종료, 종료, 종료, 특수, 7001, 3, 5, 1, 2, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 3, 2, 1, {D:은련}, 종료, 종료, 종료, 종료, 특수, 7001, 3, 5, 1, {D:비과세}, {D:약국의약품사용}, {D:금액입력화면반전}, 종료, 종료, 종료, 종료
Terminal Profile 24	은련사용	특수, 7001, 3, 2, 1, 2, 종료, 종료, 종료, 종료	특수, 7001, 3, 2, 1, {D:은련}, 종료, 종료, 종료, 종료
Terminal Profile 25	서명패드 사용, 은련사용	특수, 7001, 3, 2, 1, 2, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 3, 2, 1, {D:은련}, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile 26	수표조회기사용	특수, 7001, 7, 4, 2, 종료, 종료, 종료, 종료	특수, 7001, 7, 4, {D:수표조회기}, 종료, 종료, 종료, 종료
Terminal Profile 27-01	DCC 사용, 서명패드 사용	특수, 7001, 3, 2, 2, 1, 입력, 2, 2, 30, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 3, 2, 2, {D:DCC}, 입력, {D:Offer인쇄}, {D:DCC선택여부}, {D:DCC선택대기시간}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile 27-02	DCC 사용, 핀패드PINPAD1	특수, 7001, 3, 2, 2, 1, 입력, 2, 2, 30, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 2, 3, 1, 종료, 종료, 종료, 종료	특수, 7001, 3, 2, 2, {D:DCC}, 입력, {D:Offer인쇄}, {D:DCC선택여부}, {D:DCC선택대기시간}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 2, {D:핀패드}, {D:핀패드포트}, 종료, 종료, 종료, 종료
Terminal Profile 27-03	DCC 사용, 핀패드PINPAD2	특수, 7001, 3, 2, 2, 1, 입력, 2, 2, 30, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 2, 3, 2, 종료, 종료, 종료, 종료	특수, 7001, 3, 2, 2, {D:DCC}, 입력, {D:Offer인쇄}, {D:DCC선택여부}, {D:DCC선택대기시간}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 2, {D:핀패드}, {D:핀패드포트}, 종료, 종료, 종료, 종료
Terminal Profile 27-04	DCC 사용, 선택 대기시간 40초	특수, 7001, 3, 2, 2, 1, 입력, 2, 2, 40, 입력, 종료, 종료, 종료, 종료	특수, 7001, 3, 2, 2, {D:DCC}, 입력, {D:Offer인쇄}, {D:DCC선택여부}, {D:DCC선택대기시간}, 입력, 종료, 종료, 종료, 종료
Terminal Profile 27-05	DCC 사용, DCC Offer 비인쇄, DCC 선택 비사용, IC카드 MS 사용	특수, 7001, 3, 2, 2, 1, 입력, 1, 1, 30, 입력, 종료, 종료, 종료, 종료	특수, 7001, 3, 2, 2, {D:DCC}, 입력, {D:Offer인쇄}, {D:DCC선택여부}, {D:DCC선택대기시간}, 입력, 종료, 종료, 종료, 종료
Terminal Profile 27	DCC 사용	특수, 7001, 3, 2, 2, 1, 입력, 2, 2, 30, 입력, 종료, 종료, 종료, 종료	특수, 7001, 3, 2, 2, {D:DCC}, 입력, {D:Offer인쇄}, {D:DCC선택여부}, {D:DCC선택대기시간}, 입력, 종료, 종료, 종료, 종료
Terminal Profile 28	부가세수동입력, 세금미포함금액, 봉사료사용, 봉사료 수동입력, 봉사료미포함, 할부개월, 5만원미만할부사용	특수, 7001, 2, 1, 2, 2, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, 2, 1, 2, 10, 입력, 1, 종료, 종료, 종료, 종료, 특수, 7001, 2, 3, 2, 2, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, {D:세금포함}, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료만으로승인요청가능}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료, 특수, 7001, 2, 3, {D:할부설정}, {D:5만미만할부사용}, 종료, 종료, 종료, 종료
Terminal Profile 29	부가세수동입력, 세금포함금액, 봉사료사용, 봉사료 수동입력, 봉사료미포함	특수, 7001, 2, 1, 2, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, 2, 1, 2, 10, 입력, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료만으로승인요청가능}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료
Terminal Profile 30-01	충전소 999, 서명패드 사용	특수, 7001, 4, 1, 3, 1, 2, 999, 입력, 2, 999, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 4, 1, {D:유종설정}, {D:픔명을부탄으로자동설정}, {D:충전소부탄사용}, {D:충전소부탄}, 입력, {D:충전소프로판사용}, {D:충전소프로판}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile 30-02	충전소 2000, 서명패드 사용	특수, 7001, 4, 1, 3, 1, 2, 2000, 입력, 2, 2000, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 4, 1, {D:유종설정}, {D:픔명을부탄으로자동설정}, {D:충전소부탄사용}, {D:충전소부탄}, 입력, {D:충전소프로판사용}, {D:충전소프로판}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile 30-03	충전소 501	특수, 7001, 4, 1, 3, 1, 2, 501, 입력, 2, 501, 입력, 종료, 종료, 종료, 종료	특수, 7001, 4, 1, {D:유종설정}, {D:픔명을부탄으로자동설정}, {D:충전소부탄사용}, {D:충전소부탄}, 입력, {D:충전소프로판사용}, {D:충전소프로판}, 입력, 종료, 종료, 종료, 종료
Terminal Profile 30-04	충전소 999	특수, 7001, 4, 1, 3, 1, 2, 999, 입력, 2, 999, 입력, 종료, 종료, 종료, 종료	특수, 7001, 4, 1, {D:유종설정}, {D:픔명을부탄으로자동설정}, {D:충전소부탄사용}, {D:충전소부탄}, 입력, {D:충전소프로판사용}, {D:충전소프로판}, 입력, 종료, 종료, 종료, 종료
Terminal Profile 30-05	충전소 2000	특수, 7001, 4, 1, 3, 1, 2, 2000, 입력, 2, 2000, 입력, 종료, 종료, 종료, 종료	특수, 7001, 4, 1, {D:유종설정}, {D:픔명을부탄으로자동설정}, {D:충전소부탄사용}, {D:충전소부탄}, 입력, {D:충전소프로판사용}, {D:충전소프로판}, 입력, 종료, 종료, 종료, 종료
Terminal Profile 30-06	충전소 501, 서명패드 사용, SKT멤버쉽 사용, KTF멤버쉽 사용	특수, 7001, 3, 1, 1, 4, 2, 1, 1, 종료, 종료, 종료, 종료, 특수, 7001, 4, 1, 3, 1, 2, 501, 입력, 2, 501, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 3, 1, 1, 4, {D:KTF멤버쉽}, {D:KTF멤버쉽상품코드사용}, {D:KTF멤버쉽조회후인쇄}, 종료, 종료, 종료, 종료, 특수, 7001, 4, 1, {D:유종설정}, {D:픔명을부탄으로자동설정}, {D:충전소부탄사용}, {D:충전소부탄}, 입력, {D:충전소프로판사용}, {D:충전소프로판}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile 30-07	충전소 999, 서명패드 사용, SKT멤버쉽 사용, KTF멤버쉽 사용	특수, 7001, 3, 1, 1, 4, 2, 1, 1, 종료, 종료, 종료, 종료, 특수, 7001, 4, 1, 3, 1, 2, 999, 입력, 2, 999, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 3, 1, 1, 4, {D:KTF멤버쉽}, {D:KTF멤버쉽상품코드사용}, {D:KTF멤버쉽조회후인쇄}, 종료, 종료, 종료, 종료, 특수, 7001, 4, 1, {D:유종설정}, {D:픔명을부탄으로자동설정}, {D:충전소부탄사용}, {D:충전소부탄}, 입력, {D:충전소프로판사용}, {D:충전소프로판}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile 30-08	충전소 2000, 서명패드 사용, SKT멤버쉽 사용, KTF멤버쉽 사용	특수, 7001, 3, 1, 1, 4, 2, 1, 1, 종료, 종료, 종료, 종료, 특수, 7001, 4, 1, 3, 1, 2, 2000, 입력, 2, 2000, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 3, 1, 1, 4, {D:KTF멤버쉽}, {D:KTF멤버쉽상품코드사용}, {D:KTF멤버쉽조회후인쇄}, 종료, 종료, 종료, 종료, 특수, 7001, 4, 1, {D:유종설정}, {D:픔명을부탄으로자동설정}, {D:충전소부탄사용}, {D:충전소부탄}, 입력, {D:충전소프로판사용}, {D:충전소프로판}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile 30	충전소 501, 서명패드 사용	특수, 7001, 4, 1, 3, 1, 2, 501, 입력, 2, 501, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 4, 1, {D:유종설정}, {D:픔명을부탄으로자동설정}, {D:충전소부탄사용}, {D:충전소부탄}, 입력, {D:충전소프로판사용}, {D:충전소프로판}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile 31-01	주유소+충전소 999, 서명패드 사용	특수, 7001, 4, 1, 4, 2, 999, 입력, 2, 999, 입력, 2, 999, 입력, 2, 999, 입력, 2, 999, 입력, 2, 999, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 4, 1, {D:유종설정}, {D:주유소+충전소무연휘발유사용}, {D:주유소+충전소무연휘발유}, 입력, {D:주유소+충전소경유사용}, {D:주유소+충전소경유}, 입력, {D:주유소+충전소보일러등유사용}, {D:주유소+충전소보일러등유}, 입력, {D:주유소+충전소실내등유사용}, {D:주유소+충전소실내등유}, 입력, {D:주유소+충전소부탄사용}, {D:주유소+충전소부탄}, 입력, {D:주유소+충전소프로판사용}, {D:주유소+충전소프로판}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile 31-02	주유소+충전소 2000, 서명패드 사용	특수, 7001, 4, 1, 4, 2, 2000, 입력, 2, 2000, 입력, 2, 2000, 입력, 2, 2000, 입력, 2, 2000, 입력, 2, 2000, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 4, 1, {D:유종설정}, {D:주유소+충전소무연휘발유사용}, {D:주유소+충전소무연휘발유}, 입력, {D:주유소+충전소경유사용}, {D:주유소+충전소경유}, 입력, {D:주유소+충전소보일러등유사용}, {D:주유소+충전소보일러등유}, 입력, {D:주유소+충전소실내등유사용}, {D:주유소+충전소실내등유}, 입력, {D:주유소+충전소부탄사용}, {D:주유소+충전소부탄}, 입력, {D:주유소+충전소프로판사용}, {D:주유소+충전소프로판}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile 31-03	주유소+충전소 501	특수, 7001, 4, 1, 4, 2, 501, 입력, 2, 501, 입력, 2, 501, 입력, 2, 501, 입력, 2, 501, 입력, 2, 501, 입력, 종료, 종료, 종료, 종료	특수, 7001, 4, 1, {D:유종설정}, {D:주유소+충전소무연휘발유사용}, {D:주유소+충전소무연휘발유}, 입력, {D:주유소+충전소경유사용}, {D:주유소+충전소경유}, 입력, {D:주유소+충전소보일러등유사용}, {D:주유소+충전소보일러등유}, 입력, {D:주유소+충전소실내등유사용}, {D:주유소+충전소실내등유}, 입력, {D:주유소+충전소부탄사용}, {D:주유소+충전소부탄}, 입력, {D:주유소+충전소프로판사용}, {D:주유소+충전소프로판}, 입력, 종료, 종료, 종료, 종료
Terminal Profile 31-04	주유소+충전소 999	특수, 7001, 4, 1, 4, 2, 999, 입력, 2, 999, 입력, 2, 999, 입력, 2, 999, 입력, 2, 999, 입력, 2, 999, 입력, 종료, 종료, 종료, 종료	특수, 7001, 4, 1, {D:유종설정}, {D:주유소+충전소무연휘발유사용}, {D:주유소+충전소무연휘발유}, 입력, {D:주유소+충전소경유사용}, {D:주유소+충전소경유}, 입력, {D:주유소+충전소보일러등유사용}, {D:주유소+충전소보일러등유}, 입력, {D:주유소+충전소실내등유사용}, {D:주유소+충전소실내등유}, 입력, {D:주유소+충전소부탄사용}, {D:주유소+충전소부탄}, 입력, {D:주유소+충전소프로판사용}, {D:주유소+충전소프로판}, 입력, 종료, 종료, 종료, 종료
Terminal Profile 31-05	주유소+충전소 2000	특수, 7001, 4, 1, 4, 2, 2000, 입력, 2, 2000, 입력, 2, 2000, 입력, 2, 2000, 입력, 2, 2000, 입력, 2, 2000, 입력, 종료, 종료, 종료, 종료	특수, 7001, 4, 1, {D:유종설정}, {D:주유소+충전소무연휘발유사용}, {D:주유소+충전소무연휘발유}, 입력, {D:주유소+충전소경유사용}, {D:주유소+충전소경유}, 입력, {D:주유소+충전소보일러등유사용}, {D:주유소+충전소보일러등유}, 입력, {D:주유소+충전소실내등유사용}, {D:주유소+충전소실내등유}, 입력, {D:주유소+충전소부탄사용}, {D:주유소+충전소부탄}, 입력, {D:주유소+충전소프로판사용}, {D:주유소+충전소프로판}, 입력, 종료, 종료, 종료, 종료
Terminal Profile 31-06	주유소+충전소 501, 서명패드 사용, SKT멤버쉽 사용, KTF멤버쉽 사용	특수, 7001, 3, 1, 1, 4, 2, 1, 1, 종료, 종료, 종료, 종료, 특수, 7001, 4, 1, 4, 2, 501, 입력, 2, 501, 입력, 2, 501, 입력, 2, 501, 입력, 2, 501, 입력, 2, 501, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 3, 1, 1, 4, {D:KTF멤버쉽}, {D:KTF멤버쉽상품코드사용}, {D:KTF멤버쉽조회후인쇄}, 종료, 종료, 종료, 종료, 특수, 7001, 4, 1, {D:유종설정}, {D:주유소+충전소무연휘발유사용}, {D:주유소+충전소무연휘발유}, 입력, {D:주유소+충전소경유사용}, {D:주유소+충전소경유}, 입력, {D:주유소+충전소보일러등유사용}, {D:주유소+충전소보일러등유}, 입력, {D:주유소+충전소실내등유사용}, {D:주유소+충전소실내등유}, 입력, {D:주유소+충전소부탄사용}, {D:주유소+충전소부탄}, 입력, {D:주유소+충전소프로판사용}, {D:주유소+충전소프로판}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile 31-07	주유소+충전소 999, 서명패드 사용, SKT멤버쉽 사용, KTF멤버쉽 사용	특수, 7001, 3, 1, 1, 4, 2, 1, 1, 종료, 종료, 종료, 종료, 특수, 7001, 4, 1, 4, 2, 999, 입력, 2, 999, 입력, 2, 999, 입력, 2, 999, 입력, 2, 999, 입력, 2, 999, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 3, 1, 1, 4, {D:KTF멤버쉽}, {D:KTF멤버쉽상품코드사용}, {D:KTF멤버쉽조회후인쇄}, 종료, 종료, 종료, 종료, 특수, 7001, 4, 1, {D:유종설정}, {D:주유소+충전소무연휘발유사용}, {D:주유소+충전소무연휘발유}, 입력, {D:주유소+충전소경유사용}, {D:주유소+충전소경유}, 입력, {D:주유소+충전소보일러등유사용}, {D:주유소+충전소보일러등유}, 입력, {D:주유소+충전소실내등유사용}, {D:주유소+충전소실내등유}, 입력, {D:주유소+충전소부탄사용}, {D:주유소+충전소부탄}, 입력, {D:주유소+충전소프로판사용}, {D:주유소+충전소프로판}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile 31-08	주유소+충전소 2000, 서명패드 사용, SKT멤버쉽 사용, KTF멤버쉽 사용	특수, 7001, 3, 1, 1, 4, 2, 1, 1, 종료, 종료, 종료, 종료, 특수, 7001, 4, 1, 4, 2, 2000, 입력, 2, 2000, 입력, 2, 2000, 입력, 2, 2000, 입력, 2, 2000, 입력, 2, 2000, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 3, 1, 1, 4, {D:KTF멤버쉽}, {D:KTF멤버쉽상품코드사용}, {D:KTF멤버쉽조회후인쇄}, 종료, 종료, 종료, 종료, 특수, 7001, 4, 1, {D:유종설정}, {D:주유소+충전소무연휘발유사용}, {D:주유소+충전소무연휘발유}, 입력, {D:주유소+충전소경유사용}, {D:주유소+충전소경유}, 입력, {D:주유소+충전소보일러등유사용}, {D:주유소+충전소보일러등유}, 입력, {D:주유소+충전소실내등유사용}, {D:주유소+충전소실내등유}, 입력, {D:주유소+충전소부탄사용}, {D:주유소+충전소부탄}, 입력, {D:주유소+충전소프로판사용}, {D:주유소+충전소프로판}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile 31	주유소+충전소 501, 서명패드 사용	특수, 7001, 4, 1, 4, 2, 501, 입력, 2, 501, 입력, 2, 501, 입력, 2, 501, 입력, 2, 501, 입력, 2, 501, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 4, 1, {D:유종설정}, {D:주유소+충전소무연휘발유사용}, {D:주유소+충전소무연휘발유}, 입력, {D:주유소+충전소경유사용}, {D:주유소+충전소경유}, 입력, {D:주유소+충전소보일러등유사용}, {D:주유소+충전소보일러등유}, 입력, {D:주유소+충전소실내등유사용}, {D:주유소+충전소실내등유}, 입력, {D:주유소+충전소부탄사용}, {D:주유소+충전소부탄}, 입력, {D:주유소+충전소프로판사용}, {D:주유소+충전소프로판}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile 32	봉사료, 봉사료수동입력, 봉사료만으로승인요청가능, 봉사료미포함	특수, 7001, 2, 2, 2, 2, 2, 10, 입력, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료만으로승인요청가능}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료
Terminal Profile 33	봉사료, 봉사료수동입력, 봉사료포함	특수, 7001, 2, 2, 2, 1, 1, 10, 입력, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료만으로승인요청가능}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료
Terminal Profile 34	현금+OCB소득공제사용	특수, 7001, 2, 5, 4, 2, 종료, 종료, 종료, 종료	특수, 7001, 2, 5, 4, {D:현금영수증+OCB}, 종료, 종료, 종료, 종료
Terminal Profile 35-01	Predial 비사용, 할부개월 사용, 서명패드기능 사용	특수, 7001, 2, 3, 2, 1, 종료, 종료, 종료, 종료, 특수, 7001, 6, 4, 3, 1, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 3, {D:할부설정}, {D:5만미만할부사용}, 종료, 종료, 종료, 종료, 특수, 7001, 6, 4, 3, {D:PREDIALING}, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile 35	Predial 비사용	특수, 7001, 6, 4, 3, 1, 종료, 종료, 종료, 종료	특수, 7001, 6, 4, 3, {D:PREDIALING}, 종료, 종료, 종료, 종료
Terminal Profile 36	접속대기시간20초, ENQ수신대기시간10초, 응답전문수신대기시간40초, EOT수신대기시간10초, PREDIALING비사용	특수, 7001, 6, 4, 2, 20, 입력, 10, 입력, 40, 입력, 10, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 6, 4, 3, 1, 종료, 종료, 종료, 종료	특수, 7001, 6, 4, 2, {D:접속대기시간}, 입력, {D:ENQ수신대기시간}, 입력, {D:응답전문수신대기시간}, 입력, {D:EOT수신대기시간}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 6, 4, 3, {D:PREDIALING}, 종료, 종료, 종료, 종료
Terminal Profile 37-01	신용출력매수 2장	특수, 7001, 2, 4, 1, 2, 종료, 종료, 종료, 종료	특수, 7001, 2, 4, 1, {D:신용출력매수}, 종료, 종료, 종료, 종료
Terminal Profile 37-02	신용출력매수 3장(서명패드용)	특수, 7001, 2, 4, 1, 4, 종료, 종료, 종료, 종료	특수, 7001, 2, 4, 1, {D:신용출력매수}, 종료, 종료, 종료, 종료
Terminal Profile 37	신용출력매수 1장(서명패드용)	특수, 7001, 2, 4, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 4, 1, {D:신용출력매수}, 종료, 종료, 종료, 종료
Terminal Profile 38-01	서명패드사용, 신용출력매수 2장	특수, 7001, 2, 4, 1, 2, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 4, 1, {D:신용출력매수}, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile 38-02	서명패드사용, 신용출력매수 3장(서명패드용)	특수, 7001, 2, 4, 1, 4, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 4, 1, {D:신용출력매수}, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
